Provinsi,Pengeluaran_per_Kapita,Komputer_SD_Negeri,Komputer_SD_Swasta,Sumber_Listrik_PLN,Akses_Internet_Sekolah_Tersedia,Akses_Internet_Sekolah_Tidak_tersedia,2G,3G,4G,5G
ACEH,11191,303,31,9973,2965,564,3507,84,10030,2
BALI,15383,79,97,999,2360,56,4245,0,11496,40
BANTEN,13498,361,444,9979,4434,200,7104,1,23528,43
BENGKULU,12197,99,23,9975,1086,312,1042,25,3455,0
D I YOGYAKARTA,15855,625,213,100,1832,16,2232,38,7035,2
DKI JAKARTA,20676,377,641,9997,2228,11,8409,0,29889,115
GORONTALO,11937,73,3,9899,760,168,849,35,2030,0
JAMBI,12018,136,33,989,2131,332,2194,34,6983,0
JAWA BARAT,12447,882,1189,999,18712,947,24333,0,79774,40
JAWA TENGAH,12746,2138,599,9994,18400,360,14826,197,42751,26
JAWA TIMUR,13509,2685,949,9971,18383,624,17589,3,50461,34
KALIMANTAN BARAT,10689,102,81,9295,2721,1717,3453,60,9832,0
KALIMANTAN SELATAN,13757,95,29,9889,2568,347,2992,1,9195,0
KALIMANTAN TENGAH,12612,174,59,8904,1837,811,2158,34,6740,0
KALIMANTAN TIMUR,14254,95,102,965,1663,256,3189,50,10036,12
KALIMANTAN UTARA,10568,40,12,9618,327,158,575,65,1769,1
KEP BANGKA BELITUNG,13837,46,25,9966,777,55,1425,0,3656,0
KEPULAUAN RIAU,15881,125,171,9839,907,66,1887,5,5430,19
LAMPUNG,11683,263,108,9921,4128,604,4267,31,13273,3
MALUKU,9900,44,26,9537,1057,755,921,2,2591,0
MALUKU UTARA,9613,86,10,9427,792,523,622,0,1790,0
NUSA TENGGARA BARAT,11922,126,17,9989,3024,285,4134,1,8424,3
NUSA TENGGARA TIMUR,8735,160,120,9101,3967,1236,2545,247,6530,3
PAPUA,11342,32,47,9024,1074,1568,999,2,5646,1
PAPUA BARAT,9115,11,13,8231,639,465,590,1,2530,0
RIAU,12233,184,152,966,3432,359,5164,1,14738,3
SULAWESI BARAT,10516,63,1,9499,766,560,734,30,1884,0
SULAWESI SELATAN,12773,361,118,9823,5233,1205,6303,32,17910,29
SULAWESI TENGAH,10934,126,12,966,2055,871,2051,28,5679,5
SULAWESI TENGGARA,10992,158,11,9783,1720,625,1562,104,4368,0
SULAWESI UTARA,12450,45,45,9967,1558,645,2157,58,5706,5
SUMATERA BARAT,12041,179,70,9895,3644,616,3781,28,9955,4
SUMATERA SELATAN,12416,261,146,9702,4239,457,5070,3,14777,5
SUMATERA UTARA,11898,221,475,9923,7916,1866,9433,26,26702,11
